poetry@query	我想听首唐诗。	o o o o b-dynasty o o
match@query	江苏舜天队这个星期的比赛时间给我找出来	b-name i-name i-name i-name o b-datetime_date i-datetime_date i-datetime_date i-datetime_date o o o o o o o o o o
message@send	给严巧发短信	o b-name i-name o o o
poetry@query	来一首李白的诗。	o o o b-author i-author o o o
epg@query	收看安徽卫视节目。	o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o
contacts@create	添加一条通讯录姓名张守刚号码是13811725158	o o o o o o o o o b-name i-name i-name o o o b-code i-code i-code i-code i-code i-code i-code i-code i-code i-code i-code
cookbook@query	白面粉可以怎样做饼？	o o o o o o o o b-ingredient o
email@forward	我想要转发这封邮件	o o o o o o o o o
epg@query	北京生活频道节目单	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o
message@send	给张大萍发短信	o b-name i-name i-name o o o
tvchannel@play	cctv6电影高清	b-name i-name i-name i-name i-name i-name i-name b-resolution i-resolution
translation@translation	翻译背首诗	o o b-content i-content i-content
cookbook@query	的，酸菜鱼怎么做？怎么？	o o b-dishname i-dishname i-dishname o o o o o o o
website@open	打开搜狐网首页	o o b-name i-name i-name o o
video@query	推理动漫	b-tag i-tag b-category i-category
map@route	帮我查一下到狼牙山怎么走	o o o o o o b-endloc_poi i-endloc_poi i-endloc_poi o o o
message@sendcontacts	把唐玉明的手机号码发给李康	o b-name i-name i-name o b-category i-category o o o o b-receiver i-receiver
match@query	中超a组比赛结果分别是多少	b-category i-category o o o o b-type i-type o o o o o
cookbook@query	虾仁饭。	b-dishname i-dishname i-dishname o
epg@query	电视台在播什么节目	o o o o o o o o o
music@play	来一首歌尔勤县	o o o o o o o
website@open	上百度网站	o b-name i-name o o
contacts@query	查找张伟军	o o b-name i-name i-name
video@query	虎胆龙威	b-name i-name i-name i-name
app@query	找愤怒的小鸟	o b-name i-name i-name i-name i-name
epg@query	财经频道今天有什么节目	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date o o o o o
bus@query	帮我查一下温州到汉中的汽车。	o o o o o b-src i-src o b-dest i-dest o o o o
music@play	来一首解脱	o o o b-song i-song
translation@translation	你去哪用英文怎么说	b-content i-content i-content o b-target i-target o o o
message@send	给何建琴发短信	o b-name i-name i-name o o o
radio@launch	麻烦您能否帮我调频97.1汉中音乐广播电台	o o o o o o o o o b-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name i-name
map@position	人民公园在哪里	b-location_poi i-location_poi i-location_poi i-location_poi o o o
epg@query	焦点访谈什么时候播	b-name i-name i-name i-name o o o o o
cinemas@query	现在电影院有什么好电影？	b-datetime_time i-datetime_time o o o o o o o o o o
cookbook@query	搜索烤饼的做法。	o o b-ingredient i-ingredient o o o o
match@query	中超比分。	b-category i-category b-type i-type o
stock@query	今天上证指数是几点	o o b-name i-name i-name i-name o o o
telephone@dial	打给孩子的爸	o o b-name i-name i-name i-name
tvchannel@play	中央台五套	b-name i-name i-name i-name i-name
translation@translation	五用英语怎么说	b-content o b-target i-target o o o
stock@query	伊利股份股票	b-name i-name i-name i-name o o
video@query	死亡笔记	b-name i-name i-name i-name
map@route	导航到佛山大良汽车站	o o o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi
app@launch	打开qq登陆到聊天模式	o o b-name i-name o o o o o o o
match@query	广州恒大比赛谁赢了。	b-name i-name i-name i-name o o o o o o
cookbook@query	蛋糕可以做蛋糕吗？	b-dishname i-dishname o o o o o o o
website@open	看网易财经	o b-name i-name i-name i-name
telephone@dial	呼叫老公	o o b-name i-name
cookbook@query	麻辣豆腐怎么做啊？	b-dishname i-dishname i-dishname i-dishname o o o o o
video@query	刘三姐	b-name i-name i-name
app@launch	打开qq同步助手	o o b-name i-name i-name i-name i-name i-name
website@open	帮我链接到新浪网	o o o o o b-name i-name i-name
translation@translation	挑逗你真好玩儿英语怎么说	b-content i-content i-content i-content i-content i-content i-content b-target i-target o o o
tvchannel@play	宁波一台	b-name i-name i-name i-name
cinemas@query	最近有什么新片子？	o o o o o b-timedescr o o o
match@query	下个星期中国足球超级联赛淘汰赛的赛事前瞻	b-datetime_date i-datetime_date i-datetime_date i-datetime_date b-category i-category i-category i-category i-category i-category i-category i-category o o o o o o o o
stock@riserate_query	中国银行是跌了还是涨了	b-name i-name i-name i-name o o o o o o o
health@query	胃溃疡。	b-keyword i-keyword i-keyword o
radio@launch	请帮我调频89.7上虞人民广播电台	o o o o o b-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name i-name
cookbook@query	狗光鱼怎么做？	o o b-ingredient o o o o
telephone@dial	打电话给奥巴马	o o o o b-name i-name i-name
cookbook@query	土豆饼怎么做啊？	b-dishname i-dishname i-dishname o o o o o
tvchannel@play	打开江苏卫视	o o b-name i-name i-name i-name
video@query	电视剧火凤凰	b-category i-category i-category b-name i-name i-name
video@query	最新电影	b-timedescr i-timedescr b-category i-category
tvchannel@play	中央十一台	b-name i-name i-name i-name i-name
cookbook@query	猪大肠怎么炒？	b-ingredient i-ingredient i-ingredient o o o o
app@launch	我想上qq了	o o o b-name i-name o
match@query	武汉卓尔的赛程。	b-name i-name i-name i-name o o o o
health@query	腹泻。	b-keyword i-keyword o
cookbook@query	红烧牛肉面我想来一碗。	b-dishname i-dishname i-dishname i-dishname i-dishname o o o o o o
cookbook@query	白灼基尾虾的做法。	b-dishname i-dishname i-dishname i-dishname i-dishname o o o o
epg@query	读书频道上个星期五有播放新闻联播吗	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date o o o b-name i-name i-name i-name o
epg@query	今天晚上有没有中国好声音呢？	b-datetime_date i-datetime_date b-datetime_time i-datetime_time o o o b-name i-name i-name i-name i-name o o
poetry@query	唐诗哦。	b-dynasty o o o
website@open	请打开人人网	o o o b-name i-name i-name
video@query	我要看李连杰的电影	o o o b-artist i-artist i-artist o b-category i-category
cookbook@query	山寨鱼怎么做？	b-dishname i-dishname i-dishname o o o o
cookbook@query	怎么做炸鸡	o o o b-dishname i-dishname
epg@query	看一下今天晚上广西台有没有警戒线？	o o o b-datetime_date i-datetime_date b-datetime_time i-datetime_time b-tvchannel i-tvchannel i-tvchannel o o o b-name i-name i-name o
cookbook@query	红薯粉的做法，了。	b-ingredient i-ingredient i-ingredient o o o o o o
health@query	如何治疗感冒	o o o o b-keyword i-keyword
epg@query	现在有什么好的电视剧。	b-datetime_time i-datetime_time o o o o o b-category i-category i-category o
cookbook@query	冰激凌怎么做哦	b-dishname i-dishname i-dishname o o o o
map@route	飞机场怎么走	b-endloc_poi i-endloc_poi i-endloc_poi o o o
cookbook@query	炸馒头片	b-dishname i-dishname i-dishname i-dishname
telephone@dial	拨打电话给庄开森	o o o o o b-name i-name i-name
message@view	查看短消息	o o o o o
poetry@query	长风吹月渡海来下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword i-keyword b-queryfield i-queryfield i-queryfield o o o o
app@launch	百度浏览器打开	b-name i-name i-name i-name i-name o o
cinemas@query	热门电影有哪些啊？	o o o o o o o o o
health@query	包皮过长怎么办啊？你。	b-keyword i-keyword i-keyword i-keyword o o o o o o o
cookbook@query	可乐鸡翅怎么做呀晚点告诉我。	b-dishname i-dishname i-dishname i-dishname o o o o o o o o o o
map@route	查一下到长途汽车站去的最省钱的线路	o o o o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o b-type i-type i-type o o o
app@launch	正韵打开相机	o o o o b-name i-name
cookbook@query	小猪哨糖醋排骨的做法。	o o o b-dishname i-dishname i-dishname i-dishname o o o o
app@launch	他开酷狗	o o b-name i-name
email@create	帮我写一条新邮件	o o o o o o o o
tvchannel@play	江苏教育台	b-name i-name i-name i-name i-name
